user_id,subscription_start_date,plan_type,price_usd,subscription_end_date
986,2024-06-26,basic,17.99,
560,2024-05-08,basic,17.99,
834,2024-03-13,basic,17.99,
2394,2024-05-25,standard,17.99,
2882,2024-03-29,premium,17.99,
663,2024-03-19,basic,7.99,
1541,2024-05-06,premium,7.99,
2433,2024-04-22,standard,12.99,
1784,2024-05-01,premium,7.99,
128,2024-06-12,standard,17.99,
1111,2024-05-03,basic,17.99,
1205,2024-07-03,standard,17.99,
2510,2024-03-06,basic,17.99,
211,2024-03-14,basic,7.99,
2369,2024-06-04,premium,7.99,
1285,2024-03-04,premium,7.99,
1153,2024-03-19,premium,12.99,
715,2024-07-04,standard,7.99,
1102,2024-02-13,standard,17.99,
1944,2024-06-20,standard,12.99,
1479,2024-03-30,basic,17.99,
1802,2024-06-05,basic,17.99,
1922,2024-03-31,standard,7.99,
1471,2024-05-29,basic,12.99,
177,2024-03-05,standard,12.99,
782,2024-04-09,basic,7.99,
1115,2024-07-08,basic,12.99,
1957,2024-04-07,premium,7.99,
964,2024-04-11,basic,7.99,
1712,2024-06-20,basic,17.99,
797,2024-05-12,standard,17.99,
2319,2024-04-20,standard,17.99,
374,2024-01-29,basic,17.99,
95,2024-06-01,standard,7.99,
2713,2024-02-10,standard,17.99,
1595,2024-03-09,basic,17.99,
1929,2024-03-04,basic,17.99,
2744,2024-07-16,standard,7.99,
2358,2024-02-21,standard,12.99,
1578,2024-03-22,basic,7.99,
2590,2024-02-01,premium,7.99,
2428,2024-07-12,premium,17.99,
2315,2024-04-18,basic,7.99,
1228,2024-01-21,premium,17.99,
2947,2024-01-29,standard,12.99,
1075,2024-07-06,basic,12.99,
1435,2024-03-23,standard,7.99,
2420,2024-02-10,basic,12.99,
1871,2024-05-03,standard,12.99,
1773,2024-02-17,basic,7.99,
1253,2024-03-30,premium,7.99,
2209,2024-04-23,basic,17.99,
2483,2024-02-23,basic,12.99,
1067,2024-01-29,standard,17.99,
2981,2024-02-23,basic,12.99,
603,2024-04-15,basic,17.99,
1348,2024-02-25,premium,17.99,
2377,2024-01-26,basic,7.99,
2812,2024-02-16,premium,7.99,
2392,2024-05-16,standard,7.99,
2591,2024-02-15,standard,17.99,
2304,2024-01-17,premium,7.99,
1405,2024-03-27,standard,17.99,
1298,2024-05-27,premium,7.99,
2241,2024-02-19,standard,12.99,
2538,2024-01-22,standard,7.99,
1616,2024-04-11,standard,17.99,
2184,2024-05-20,basic,7.99,
16,2024-05-17,basic,12.99,
2059,2024-04-15,standard,7.99,
2244,2024-06-27,basic,7.99,
1398,2024-01-27,basic,7.99,
996,2024-05-04,standard,12.99,
339,2024-03-03,standard,17.99,
450,2024-04-07,basic,12.99,
390,2024-03-17,premium,7.99,
519,2024-06-07,standard,17.99,
2174,2024-04-12,premium,17.99,
369,2024-03-22,basic,7.99,
589,2024-06-06,standard,7.99,
1919,2024-02-16,premium,17.99,
283,2024-06-19,premium,7.99,
2017,2024-07-16,premium,7.99,
2210,2024-03-07,premium,12.99,
2677,2024-01-31,basic,7.99,
2950,2024-01-29,standard,12.99,
248,2024-01-19,standard,7.99,
2703,2024-02-13,standard,17.99,
721,2024-06-21,standard,17.99,
1869,2024-04-13,standard,17.99,
1619,2024-01-20,standard,7.99,
2035,2024-05-13,premium,7.99,
873,2024-05-22,basic,7.99,
815,2024-05-11,basic,17.99,
1449,2024-05-25,basic,17.99,
658,2024-02-03,standard,12.99,
2557,2024-05-02,standard,12.99,
2852,2024-05-02,basic,17.99,
2833,2024-03-12,standard,7.99,
827,2024-05-13,basic,7.99,
2283,2024-05-18,basic,17.99,
1289,2024-07-19,standard,17.99,
804,2024-01-31,standard,7.99,
662,2024-05-04,premium,17.99,
490,2024-02-18,basic,7.99,
1399,2024-04-02,premium,7.99,
2716,2024-01-24,basic,17.99,
54,2024-04-05,basic,7.99,
1020,2024-03-21,premium,7.99,
987,2024-02-14,basic,17.99,
1735,2024-04-02,premium,17.99,
2374,2024-07-07,basic,7.99,
2037,2024-02-23,premium,7.99,
445,2024-06-01,standard,12.99,
1986,2024-05-25,standard,12.99,
1056,2024-06-08,basic,17.99,
1212,2024-03-20,premium,17.99,
898,2024-03-24,standard,17.99,
1622,2024-03-18,premium,17.99,
2920,2024-06-08,premium,12.99,
2042,2024-03-22,basic,12.99,
103,2024-05-07,premium,17.99,
1707,2024-01-27,basic,12.99,
2938,2024-02-18,standard,7.99,
2836,2024-03-25,premium,17.99,
1590,2024-03-11,standard,17.99,
196,2024-03-16,premium,17.99,
726,2024-05-05,standard,7.99,
719,2024-04-27,standard,7.99,
730,2024-07-09,premium,12.99,
904,2024-01-31,basic,7.99,
1839,2024-03-06,standard,12.99,
2945,2024-04-30,premium,12.99,
1849,2024-04-20,basic,7.99,
39,2024-03-17,premium,12.99,
837,2024-02-10,standard,7.99,
604,2024-05-22,premium,7.99,
750,2024-01-23,standard,17.99,
459,2024-05-30,premium,12.99,
2352,2024-01-17,standard,7.99,
908,2024-05-02,basic,12.99,
109,2024-02-07,premium,7.99,
1767,2024-03-27,basic,17.99,
1973,2024-07-02,standard,7.99,
376,2024-05-30,basic,17.99,
2140,2024-02-11,premium,12.99,
1284,2024-01-11,standard,12.99,
617,2024-06-30,premium,7.99,
2731,2024-03-08,basic,12.99,
462,2024-03-03,standard,12.99,
2080,2024-03-21,basic,17.99,
950,2024-01-23,basic,17.99,
2650,2024-02-14,standard,7.99,
2090,2024-06-14,basic,17.99,
1801,2024-05-01,premium,7.99,
1515,2024-03-24,standard,17.99,
1325,2024-06-19,premium,17.99,
267,2024-04-23,standard,7.99,
2256,2024-05-01,standard,12.99,
609,2024-04-07,basic,7.99,
2238,2024-04-02,premium,17.99,
595,2024-06-09,premium,12.99,
2623,2024-06-26,standard,17.99,
1036,2024-06-16,basic,17.99,
1928,2024-03-05,basic,17.99,
2265,2024-02-09,premium,7.99,
2747,2024-04-26,premium,12.99,
1558,2024-03-29,standard,17.99,
96,2024-03-26,basic,12.99,
704,2024-05-23,standard,12.99,
2195,2024-05-05,premium,17.99,
678,2024-04-06,premium,7.99,
2853,2024-05-26,standard,17.99,
2464,2024-05-17,standard,17.99,
2745,2024-07-16,basic,12.99,
2221,2024-05-22,premium,12.99,
2835,2024-04-10,basic,7.99,
436,2024-05-10,standard,7.99,
1194,2024-02-29,basic,12.99,
832,2024-07-01,premium,17.99,
2264,2024-07-11,standard,12.99,
441,2024-05-08,basic,7.99,
