user_id,signup_datetime,country,device_type,acquisition_channel,experiment_variant,initial_plan
1,2024-04-12,ID,mobile,paid_ads,B,free
2,2024-06-28,IT,tablet,social,B,premium_trial
3,2024-04-02,ZA,web,paid_ads,B,trial
4,2024-01-15,US,mobile,paid_ads,B,premium_trial
5,2024-04-16,AU,web,social,B,premium_trial
6,2024-03-12,TR,tablet,organic,A,free
7,2024-01-21,IT,tablet,social,A,trial
8,2024-04-12,DE,web,organic,A,premium_trial
9,2024-05-01,DE,mobile,email,A,free
10,2024-03-15,ID,mobile,email,A,premium_trial
11,2024-03-28,TR,tablet,social,B,premium_trial
12,2024-04-26,CA,web,email,B,free
13,2024-04-09,FR,web,referral,A,free
14,2024-04-13,MA,mobile,paid_ads,A,trial
15,2024-05-31,ES,mobile,paid_ads,A,premium_trial
16,2024-05-10,IN,mobile,organic,B,trial
17,2024-05-29,AU,web,email,B,free
18,2024-02-22,EG,mobile,organic,A,free
19,2024-01-02,IT,mobile,paid_ads,B,premium_trial
20,2024-03-28,ZA,tablet,paid_ads,A,trial
21,2024-06-06,EG,mobile,email,B,trial
22,2024-02-07,DE,mobile,referral,B,premium_trial
23,2024-05-09,MX,web,referral,A,premium_trial
24,2024-01-21,UK,web,email,B,trial
25,2024-06-09,US,tablet,email,B,free
26,2024-02-27,FR,mobile,organic,A,free
27,2024-01-22,MX,tablet,email,B,premium_trial
28,2024-03-29,FR,web,referral,A,trial
29,2024-02-18,CA,tablet,email,B,trial
30,2024-02-28,IN,web,organic,A,trial
31,2024-06-18,ID,tablet,organic,A,free
32,2024-01-15,ID,tablet,organic,B,free
33,2024-06-23,DE,mobile,organic,B,trial
34,2024-02-20,UK,tablet,social,A,trial
35,2024-04-17,TR,mobile,email,B,premium_trial
36,2024-02-24,MA,mobile,paid_ads,B,premium_trial
37,2024-03-04,TR,mobile,email,B,trial
38,2024-05-10,MX,mobile,social,A,trial
39,2024-02-20,FR,tablet,organic,A,free
40,2024-05-14,ES,web,social,A,trial
41,2024-01-21,CA,web,referral,B,premium_trial
42,2024-03-13,ES,web,referral,B,free
43,2024-06-15,UK,tablet,email,A,premium_trial
44,2024-01-18,MA,mobile,email,A,premium_trial
45,2024-05-11,MA,web,paid_ads,B,free
46,2024-03-29,MX,tablet,paid_ads,B,premium_trial
47,2024-02-29,EG,mobile,referral,B,trial
48,2024-01-14,CA,web,organic,B,premium_trial
49,2024-01-09,AU,mobile,social,A,free
50,2024-03-30,MA,web,paid_ads,B,free
51,2024-02-22,MA,web,paid_ads,B,free
52,2024-05-09,MX,web,organic,A,premium_trial
53,2024-03-24,DE,mobile,organic,A,trial
54,2024-04-01,BR,tablet,email,B,free
55,2024-04-20,CA,mobile,social,A,trial
56,2024-06-20,ES,web,organic,B,free
57,2024-01-08,UK,mobile,paid_ads,B,trial
58,2024-06-23,MA,tablet,paid_ads,A,trial
59,2024-02-04,MA,mobile,referral,A,trial
60,2024-03-21,ID,tablet,organic,B,free
61,2024-06-12,IN,tablet,email,A,premium_trial
62,2024-02-19,ZA,mobile,social,B,premium_trial
63,2024-04-13,DE,web,email,B,premium_trial
64,2024-05-11,MA,tablet,paid_ads,B,trial
65,2024-01-02,BR,mobile,email,A,free
66,2024-05-13,IN,tablet,paid_ads,B,trial
67,2024-02-23,ID,web,paid_ads,B,free
68,2024-04-15,US,mobile,paid_ads,B,trial
69,2024-01-04,DE,mobile,paid_ads,A,free
70,2024-02-23,UK,mobile,paid_ads,B,free
71,2024-05-25,FR,web,referral,B,free
72,2024-02-13,CA,tablet,email,B,trial
73,2024-06-10,MX,mobile,referral,A,premium_trial
74,2024-01-14,UK,tablet,referral,B,trial
75,2024-04-04,AU,tablet,organic,B,trial
76,2024-02-17,CA,web,organic,A,free
77,2024-01-15,IN,mobile,organic,A,free
78,2024-02-09,EG,tablet,social,B,premium_trial
79,2024-03-22,MX,mobile,organic,B,premium_trial
80,2024-04-20,IT,mobile,email,B,free
81,2024-02-22,ZA,web,referral,A,premium_trial
82,2024-01-24,ZA,mobile,email,A,premium_trial
83,2024-06-02,ES,mobile,organic,B,free
84,2024-05-03,US,tablet,social,A,trial
85,2024-02-10,DE,web,social,B,premium_trial
86,2024-06-05,MA,mobile,referral,B,free
87,2024-01-15,EG,tablet,email,A,premium_trial
88,2024-02-14,ID,web,paid_ads,B,premium_trial
89,2024-03-05,AU,web,email,A,free
90,2024-03-29,EG,tablet,organic,A,premium_trial
91,2024-03-11,UK,tablet,paid_ads,B,premium_trial
92,2024-01-09,US,tablet,social,A,premium_trial
93,2024-03-28,FR,tablet,referral,B,trial
94,2024-05-08,TR,tablet,referral,A,trial
95,2024-05-15,ZA,mobile,social,B,premium_trial
96,2024-03-03,CA,mobile,organic,B,free
97,2024-05-18,CA,web,social,B,premium_trial
98,2024-03-21,UK,mobile,organic,A,premium_trial
99,2024-05-15,BR,mobile,paid_ads,B,trial
100,2024-06-11,BR,mobile,social,A,trial
101,2024-06-11,MA,tablet,organic,A,trial
102,2024-02-02,AU,web,paid_ads,A,premium_trial
103,2024-05-02,IT,web,social,A,premium_trial
104,2024-01-05,ES,web,referral,A,free
105,2024-02-10,MX,web,social,B,premium_trial
106,2024-01-28,FR,mobile,email,A,premium_trial
107,2024-05-14,MA,mobile,social,B,trial
108,2024-03-12,US,tablet,email,B,trial
109,2024-01-12,BR,web,paid_ads,A,trial
110,2024-06-10,IT,mobile,social,B,trial
111,2024-02-02,IT,mobile,paid_ads,B,trial
112,2024-02-17,ZA,tablet,paid_ads,A,free
113,2024-05-30,AU,tablet,organic,B,free
114,2024-03-02,UK,tablet,paid_ads,A,free
115,2024-02-06,FR,mobile,paid_ads,A,trial
116,2024-04-08,IN,mobile,social,A,trial
117,2024-06-20,MX,tablet,social,B,trial
118,2024-04-13,AU,web,referral,B,free
119,2024-02-04,ES,tablet,organic,B,trial
120,2024-04-10,AU,tablet,paid_ads,B,free
121,2024-06-23,AU,tablet,organic,A,trial
122,2024-05-10,DE,tablet,email,A,premium_trial
123,2024-01-01,UK,mobile,paid_ads,B,free
124,2024-01-05,MX,web,organic,A,premium_trial
125,2024-05-21,DE,tablet,referral,B,free
126,2024-04-12,DE,web,referral,A,trial
127,2024-01-27,ID,web,paid_ads,A,trial
128,2024-05-16,FR,web,email,A,premium_trial
129,2024-01-15,ID,tablet,referral,A,trial
130,2024-03-30,FR,mobile,referral,A,free
131,2024-02-11,MA,tablet,email,B,trial
132,2024-05-03,US,web,organic,B,trial
133,2024-06-27,IT,web,referral,A,free
134,2024-03-03,MX,mobile,social,B,premium_trial
135,2024-04-05,UK,tablet,referral,A,premium_trial
136,2024-02-21,MA,web,organic,A,trial
137,2024-04-05,TR,mobile,organic,A,free
138,2024-05-11,AU,web,paid_ads,A,premium_trial
139,2024-05-30,CA,mobile,social,B,premium_trial
140,2024-05-22,UK,mobile,organic,A,trial
141,2024-06-19,US,tablet,email,B,free
142,2024-01-29,ES,web,social,A,premium_trial
143,2024-02-05,EG,tablet,social,A,trial
144,2024-01-13,EG,web,email,B,trial
145,2024-06-08,IT,tablet,referral,A,trial
146,2024-03-11,EG,web,email,A,trial
147,2024-03-26,EG,tablet,email,B,premium_trial
148,2024-01-28,CA,mobile,referral,B,free
149,2024-03-06,BR,web,referral,B,trial
150,2024-06-18,ID,web,referral,A,trial
151,2024-02-14,ES,mobile,referral,A,premium_trial
152,2024-03-02,ID,tablet,referral,B,trial
153,2024-05-13,FR,web,email,B,trial
154,2024-01-28,DE,web,paid_ads,A,free
155,2024-01-28,BR,tablet,paid_ads,A,trial
156,2024-04-17,ID,mobile,organic,B,premium_trial
157,2024-02-13,UK,tablet,paid_ads,B,free
158,2024-03-24,UK,tablet,paid_ads,B,premium_trial
159,2024-01-30,ID,tablet,email,B,free
160,2024-03-15,AU,web,referral,A,free
161,2024-05-07,ID,mobile,referral,A,trial
162,2024-04-01,EG,mobile,email,A,trial
163,2024-05-08,FR,tablet,paid_ads,A,trial
164,2024-04-30,US,web,email,B,premium_trial
165,2024-01-27,MX,tablet,organic,A,trial
166,2024-04-30,BR,web,referral,B,trial
167,2024-04-25,BR,web,social,A,free
168,2024-01-03,ID,web,organic,A,trial
169,2024-04-12,IN,web,organic,A,trial
170,2024-06-03,ES,mobile,email,B,trial
171,2024-05-16,IT,web,paid_ads,A,trial
172,2024-03-02,ES,web,referral,B,free
173,2024-06-13,ZA,tablet,social,B,trial
174,2024-02-20,MX,tablet,organic,A,free
175,2024-06-20,UK,mobile,social,B,premium_trial
176,2024-05-31,ID,tablet,paid_ads,A,trial
177,2024-02-28,UK,web,paid_ads,B,trial
178,2024-04-27,UK,tablet,social,A,trial
179,2024-06-08,IN,mobile,referral,B,free
180,2024-04-05,UK,tablet,paid_ads,B,trial
181,2024-06-28,MX,tablet,social,A,trial
182,2024-04-22,MA,mobile,organic,A,premium_trial
183,2024-03-02,FR,mobile,social,A,free
184,2024-02-21,TR,web,social,A,free
185,2024-01-12,IT,tablet,email,B,premium_trial
186,2024-02-08,ID,web,paid_ads,B,free
187,2024-05-09,AU,tablet,referral,B,trial
188,2024-05-10,MX,tablet,referral,B,trial
189,2024-04-22,EG,web,email,A,premium_trial
190,2024-04-10,MA,tablet,referral,B,free
191,2024-04-22,IT,tablet,social,A,free
192,2024-03-21,MX,tablet,email,B,free
193,2024-04-22,MA,mobile,organic,A,premium_trial
194,2024-01-02,UK,web,paid_ads,A,trial
195,2024-05-09,AU,mobile,paid_ads,A,premium_trial
196,2024-02-23,FR,web,paid_ads,A,trial
197,2024-03-27,ID,web,social,A,premium_trial
198,2024-05-08,BR,tablet,organic,B,trial
199,2024-05-26,ES,web,email,A,free
200,2024-05-05,DE,mobile,email,B,free
201,2024-05-09,TR,mobile,paid_ads,B,free
202,2024-02-22,FR,mobile,organic,A,premium_trial
203,2024-06-20,BR,web,organic,B,premium_trial
204,2024-06-08,US,mobile,organic,B,premium_trial
205,2024-06-08,ID,web,referral,B,free
206,2024-03-08,MX,mobile,referral,A,trial
207,2024-05-02,ZA,mobile,paid_ads,A,free
208,2024-05-24,US,web,organic,A,free
209,2024-02-07,BR,mobile,organic,A,trial
210,2024-01-24,FR,tablet,email,B,trial
211,2024-03-09,MX,web,email,B,trial
212,2024-04-25,ID,web,paid_ads,B,trial
213,2024-04-07,EG,web,organic,B,free
214,2024-05-18,DE,tablet,paid_ads,B,premium_trial
215,2024-05-23,UK,web,email,B,free
216,2024-04-06,MX,mobile,email,A,trial
217,2024-05-03,EG,mobile,referral,B,premium_trial
218,2024-03-10,ID,mobile,paid_ads,B,premium_trial
219,2024-04-02,ID,web,paid_ads,B,free
220,2024-01-03,MX,mobile,organic,A,free
221,2024-05-27,FR,web,organic,B,free
222,2024-06-12,EG,mobile,referral,B,premium_trial
223,2024-05-26,FR,tablet,social,A,premium_trial
224,2024-03-30,MA,tablet,social,B,premium_trial
225,2024-05-26,BR,tablet,social,A,trial
226,2024-05-27,CA,tablet,paid_ads,A,trial
227,2024-04-05,MX,web,paid_ads,B,free
228,2024-02-21,TR,mobile,email,B,premium_trial
229,2024-06-09,ID,tablet,paid_ads,A,free
230,2024-06-16,ES,web,paid_ads,B,premium_trial
231,2024-05-07,MX,tablet,paid_ads,B,free
232,2024-02-08,BR,tablet,referral,A,trial
233,2024-03-22,AU,web,paid_ads,A,premium_trial
234,2024-04-13,AU,web,organic,B,trial
235,2024-05-08,IT,mobile,organic,A,premium_trial
236,2024-01-11,ZA,mobile,email,B,free
237,2024-06-26,TR,tablet,referral,B,premium_trial
238,2024-05-30,ID,tablet,organic,B,trial
239,2024-06-07,US,mobile,referral,B,premium_trial
240,2024-02-11,ZA,mobile,referral,A,free
241,2024-04-08,ID,web,email,B,premium_trial
242,2024-01-07,MA,mobile,referral,A,trial
243,2024-05-23,UK,mobile,paid_ads,B,free
244,2024-03-30,EG,tablet,referral,B,trial
245,2024-04-21,ZA,mobile,email,A,premium_trial
246,2024-02-29,ID,tablet,email,B,trial
247,2024-04-22,CA,mobile,email,A,premium_trial
248,2024-01-02,DE,web,organic,A,free
249,2024-05-08,AU,mobile,paid_ads,B,trial
250,2024-02-17,DE,mobile,organic,B,trial
251,2024-05-19,DE,mobile,social,B,premium_trial
252,2024-02-06,ZA,tablet,paid_ads,B,trial
253,2024-06-08,FR,web,referral,A,trial
254,2024-01-09,DE,mobile,email,B,free
255,2024-04-08,UK,tablet,social,B,premium_trial
256,2024-05-26,MA,web,paid_ads,B,premium_trial
257,2024-02-17,US,tablet,organic,B,free
258,2024-05-10,DE,tablet,email,B,free
259,2024-05-27,TR,web,organic,A,premium_trial
260,2024-05-31,MX,mobile,paid_ads,B,free
261,2024-02-23,TR,tablet,paid_ads,A,free
262,2024-04-29,MX,tablet,social,B,free
263,2024-06-09,FR,mobile,referral,B,premium_trial
264,2024-05-31,UK,mobile,organic,B,free
265,2024-04-25,US,web,social,A,trial
266,2024-03-15,CA,web,email,B,trial
267,2024-04-22,BR,web,referral,A,premium_trial
268,2024-06-12,ZA,mobile,social,A,free
269,2024-06-14,US,tablet,organic,B,trial
270,2024-04-13,BR,tablet,paid_ads,A,premium_trial
271,2024-03-24,TR,web,email,B,trial
272,2024-04-21,IT,mobile,organic,B,free
273,2024-04-08,AU,tablet,referral,A,premium_trial
274,2024-06-01,BR,web,referral,B,trial
275,2024-04-02,MA,tablet,paid_ads,B,premium_trial
276,2024-05-25,ES,tablet,paid_ads,A,trial
277,2024-05-07,MA,mobile,email,A,trial
278,2024-04-19,ID,mobile,email,A,free
279,2024-03-22,AU,tablet,paid_ads,A,free
280,2024-02-23,AU,web,paid_ads,A,trial
281,2024-06-11,MX,mobile,referral,A,premium_trial
282,2024-06-17,UK,tablet,paid_ads,B,premium_trial
283,2024-06-09,IN,mobile,social,A,free
