event_id,user_id,event_timestamp,event_type,content_id,session_id
1,1112,2024-05-20 19:09:00,complete_video,107.0,5578
2,2359,2024-07-16 02:35:00,return_app,,6388
3,2738,2024-02-12 04:48:00,return_app,,207
4,948,2024-05-27 03:21:00,onboarding_complete,,6862
5,1999,2024-02-16 03:53:00,return_app,,7980
6,1831,2024-04-20 07:00:00,return_app,,9849
7,602,2024-07-10 12:47:00,play_video,180.0,7001
8,1392,2024-05-09 18:19:00,signup,,6640
9,830,2024-03-02 14:17:00,play_video,60.0,7135
10,2667,2024-05-19 12:21:00,return_app,,1245
11,2550,2024-05-13 09:49:00,return_app,,6206
12,44,2024-01-27 15:09:00,play_video,340.0,5777
13,2137,2024-02-05 01:17:00,return_app,,1692
14,2226,2024-05-29 19:38:00,play_video,342.0,7736
15,2949,2024-07-12 12:37:00,install,,968
16,1405,2024-04-06 09:41:00,signup,,3631
17,2508,2024-04-28 15:52:00,play_video,44.0,5993
18,51,2024-02-26 11:32:00,play_video,77.0,6024
19,2683,2024-03-31 02:52:00,play_video,230.0,2156
20,2924,2024-06-12 20:32:00,play_video,90.0,9807
21,2737,2024-04-18 15:05:00,play_video,102.0,9577
22,2741,2024-07-10 20:23:00,install,,5413
23,404,2024-05-08 03:57:00,install,,9822
24,1027,2024-06-30 05:01:00,play_video,111.0,2225
25,1281,2024-04-30 00:40:00,return_app,,6542
26,1520,2024-03-24 18:03:00,play_video,224.0,9606
27,502,2024-03-14 23:28:00,play_video,260.0,2179
28,798,2024-04-21 23:26:00,signup,,3092
29,2263,2024-04-19 17:57:00,play_video,382.0,3481
30,1958,2024-04-19 15:18:00,return_app,,9657
31,313,2024-03-13 15:42:00,onboarding_complete,,4771
32,1738,2024-03-29 19:57:00,play_video,14.0,6243
33,33,2024-07-22 10:59:00,return_app,,6163
34,1284,2024-01-16 03:15:00,onboarding_complete,,3488
35,2185,2024-06-29 01:42:00,play_video,67.0,3188
36,404,2024-05-11 07:05:00,signup,,7098
37,278,2024-05-20 08:47:00,return_app,,3545
38,2794,2024-02-01 11:59:00,signup,,5152
39,2229,2024-02-10 06:26:00,complete_video,269.0,3308
40,2601,2024-07-08 22:16:00,complete_video,231.0,8278
41,404,2024-05-11 23:59:00,play_video,31.0,3730
42,2155,2024-01-23 05:26:00,play_video,210.0,5718
43,2604,2024-07-21 05:05:00,signup,,8023
44,2615,2024-06-05 22:33:00,signup,,7078
45,231,2024-05-20 20:32:00,onboarding_complete,,7623
46,2403,2024-03-07 06:39:00,onboarding_complete,,2194
47,2048,2024-03-07 06:56:00,play_video,331.0,3904
48,392,2024-03-24 17:11:00,play_video,129.0,1295
49,466,2024-02-13 23:33:00,subscribe,,3246
50,1973,2024-07-25 00:25:00,return_app,,8680
51,2939,2024-02-08 04:50:00,play_video,26.0,4076
52,364,2024-06-19 00:46:00,onboarding_complete,,1659
53,292,2024-05-18 19:32:00,signup,,6960
54,1818,2024-06-10 13:50:00,signup,,6016
55,2281,2024-04-30 21:13:00,signup,,4367
56,1158,2024-03-11 15:38:00,onboarding_complete,,4232
57,2973,2024-03-27 07:16:00,play_video,241.0,9048
